"编号","开始答题时间","结束答题时间","答题时长","1.过去半年里，您在控制体重或改善体型方面处于什么状态?","2.您认真尝试控制体重大概有多久、试过几次?","3.回顾您所有的减脂尝试，效果最好的一次大概是什么情况?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?[选项填空]","5.在减脂这件事上，您过去实际接受过哪种外部指导?","6.当您决定开始（或重新开始）减脂时，您通常怎么准备?","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【自己做饭】在家自己买菜做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【食堂】公司或学校食堂","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外卖】外卖平台点餐","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外出就餐】去餐厅、小吃店等","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【家人做饭】家人负责做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【便利食品】便利店、预制餐、代餐等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【自己做饭】在家自己买菜做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【食堂】公司或学校食堂","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外卖】外卖平台点餐","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外出就餐】去餐厅、小吃店等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【家人做饭】家人负责做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【便利食品】便利店、预制餐、代餐等","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?[选项填空]","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【个性化】是否针对我的具体情况，而不是给通用建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【专业性】是否有科学依据或专业知识支撑","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【记忆力】是否记得我之前说过的话和情况","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【态度】语气是否让我舒服，不会有压力或被审判感","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【可执行】能否给出我实际能做到的具体行动建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【交流风格】交流方式让我感到舒服","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【不确定】体验不多，说不好","11.您目前的居住情况?","12.对于健康或运动类App的推送通知（比如提醒你记录饮食、该运动了等），您更希望怎样?","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:A.手机App（独立应用）","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:B.微信小程序","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:C.手机网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:D.电脑网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____[选项填空]","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:A.手机App（独立应用）","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:B.微信小程序","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:C.手机网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:D.电脑网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____[选项填空]","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【社交媒体】刷或搜小红书、抖音、B站、微信等平台的相关内容","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【搜索引擎】在百度、Google等搜索具体问题","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问AI】用ChatGPT、豆包、Kimi等AI工具咨询","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问身边人】问朋友、家人或同事","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【专业人士】咨询医生、营养师或教练","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【不太找】基本不主动找信息，凭自己感觉和经验","16.过去一年中，在控制体重这件事上，您大概花了多少钱（人民币）?","17.您的性别","18.您的年龄段","19.您目前所在城市属于哪一类?","20.您日常最常使用的内容平台是?:小红书","20.您日常最常使用的内容平台是?:抖音","20.您日常最常使用的内容平台是?:微信公众号/视频号","20.您日常最常使用的内容平台是?:B站","20.您日常最常使用的内容平台是?:知乎","20.您日常最常使用的内容平台是?:微博","20.您日常最常使用的内容平台是?:其他 ____","20.您日常最常使用的内容平台是?:其他 ____[选项填空]","21.您觉得以下哪个描述最接近您目前的体重状况?","22.您如何评价您在当下或近期的减肥/减脂/体重管理意愿强度？","23.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","24.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次10-15分钟的简短沟通（线上），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下微信号，我们会单独联系您。","25.如果您知道自己的MBTI类型，请选择","26.请简要描述最近一次您""本来不打算吃/喝但还是吃了""的经历——当时什么时间、什么场景、事后怎么想的?（3-5句话即可）","27.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","28.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次15-20分钟的简短沟通（线上或线下），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下联系方式（微信号），我们会单独联系您。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","IP","UA","Referrer","投放名称","配额分组名称",
"52","17-Apr-2026 09:10:59","17-Apr-2026 09:18:30","451","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","F.【长期多次】3年以上，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","","2","3","","","","","1","2","","","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","2","1","4","","3","5","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","2","","","","","1","2","","","","","3","4","1","","2","","D.【三千到一万】（不含一万）","A.男","B.25-30岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","10","需要少吃一点，多做爬坡运动，后面因为工作关系没办法得多吃一点，运动时间也变少","FANSHI_DB","B.INTP","最近本来不想吃炸鸡，因为身边朋友一起聚餐，还是一起在外面炸鸡店吃了炸鸡，事后心情很无奈","说要少吃一点，多做爬坡运动，后面因为工作忙，运动时间少，吃得也多一些","FANSHI_DB","简体中文","未清洗","","中国","广东省","","微信","o86_0jmq0kVJ8fkrYImWeaJ4b5Vg","一朵波澜不惊的云","","2409:8d5a:dac:82be:846b:5457:7807:1275","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","https://open.weixin.qq.com/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"51","17-Apr-2026 09:14:54","17-Apr-2026 09:18:25","211","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","E.【未能坚持】还没坚持到能看见效果就中断了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","D.【自己来】主要靠自己摸索，也没想过找人指导","D.【搜集信息】先大量搜集信息和方法，做足功课再开始行动","6","1","2","3","5","4","5","4","1","3","6","2","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","1","4","","2","3","","","C.【合住】与室友或同学合住（含宿舍）","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","3","4","","","1","2","3","4","","","1","4","2","3","","","A.【没花过钱】","B.女","A.18-24岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","","无","","H.ENFP","晚上 心情不好 后悔","身体原因","	13414014870","简体中文","未清洗","","中国","广东省","东莞市","微信","o86_0juwBXlkNe0SnahbocuKEWqU","财财圆","","240e:47c:d250:5d23:d8fb:8fff:fe54:33ba","Mozilla/5.0 (Linux; Android 16; PKG110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260201 MMWEBID/9077 MicroMessenger/8.0.69.3040(0x2800455E) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"50","17-Apr-2026 09:12:30","17-Apr-2026 09:18:22","352","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","2","3","4","5","1","6","4","1","5","2","6","3","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","2","1","4","3","","","2","1","3","4","","","2","3","5","4","1","","B.【数百元】","B.女","B.25-30岁","C.【二线及以下】其他城市","","B.抖音","","","E.知乎","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","鼓励与支持
由于工作压力太大，时间有限","	18251460749","F.INFP","晚上闺蜜喊聚会，在餐厅，点了很多菜想想很久没联系就吃了","鼓励与支持，由于工作压力太大，时间有限","	18251460749","简体中文","未清洗","","中国","江苏省","扬州市","微信","o86_0jlyimebrqsnHnFW5t6mrV0E","u点小脾气","","240e:400:9e38:1d9b:9574:e43c:55fc:f4b7","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x18004639) NetType/4G Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"49","17-Apr-2026 09:12:05","17-Apr-2026 09:18:22","377","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","A.【短期少次】不到1年，1-2次","D.【坚持但无效】坚持执行了，但基本没看到效果","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","3","1","","","2","","3","1","","","2","","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","","3","","","2","1","3","","","","2","","3","1","","","C.【一千到三千】（不含三千）","B.女","C.31-40岁","C.【二线及以下】其他城市","","B.抖音","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","10","因为工作原因，不能按时坚持下来","ainiwodeyuan0855","Q.不知道","中午跟别人出去吃大餐，事后又后悔了，不能按时坚持","因为工作原因，没能按时坚持下来","ainiwodeyuan0855","简体中文","未清洗","","中国","广西壮族自治区","玉林市","微信","o86_0jjTKLuixcr2uYbxQy99LCBU","一染枫倾末（Edwin Castro）","","222.217.244.127","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"48","17-Apr-2026 09:12:49","17-Apr-2026 09:18:14","325","B.【断断续续】时有时无，没有稳定执行","A.【短期少次】不到1年，1-2次","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","D.【自己来】主要靠自己摸索，也没想过找人指导","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","6","2","3","5","4","3","6","2","1","4","5","C.【聊过但不信】咨询过健康或个人问题，但觉得回答太泛泛，不太信任","","1","7","6","2","3","5","4","A.【独居】一个人住","C.【适度】每天1-2次，帮我保持节奏","2","1","3","4","5","手表","2","1","3","4","5","手表","1","3","4","5","6","2","C.【一千到三千】（不含三千）","B.女","A.18-24岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","","可以有效塑形，考试期间被打乱","","F.INFP","晚上不吃，但是夜里很饿就起来吃夜宵","可以有效塑形，但是考试打乱了","无","简体中文","未清洗","","中国","安徽省","合肥市","微信","o86_0jrvUrr_-CE6pAPrF9R4e_D0","Prejudice","","183.162.231.153","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"47","17-Apr-2026 09:14:24","17-Apr-2026 09:18:10","226","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","4","1","5","2","3","6","5","2","1","3","6","4","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","3","5","6","2","4","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","4","3","5","手表同步","1","2","3","4","","","1","4","3","2","5","","D.【三千到一万】（不含一万）","A.男","C.31-40岁","C.【二线及以下】其他城市","","B.抖音","C.微信公众号/视频号","","","","","","A.【大基数】明显超重，想减的体重较多（15斤以上）","10","瘦下来很美丽 能谈恋爱了","	13032681008","B.INTP","晚饭之后 剩下了一块蛋糕 想着明天坏了 就吃了","看到了他的巨大改变，我坚持不下去","	13032681008","简体中文","未清洗","","中国","河北省","石家庄市","微信","o86_0jpYCEd9Odv0EuaGqxHBlmAo","朋友圈视频呺生活旺卡&快手蓝v齐","","121.29.98.174","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"46","17-Apr-2026 09:15:48","17-Apr-2026 09:18:09","141","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","F.【长期多次】3年以上，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","E.【慢慢松懈】没什么具体原因，就是逐渐不那么在意了，不知不觉就停了","","D.【自己来】主要靠自己摸索，也没想过找人指导","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","","","1","","","","","","1","","","","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","","","","","1","","","A.【独居】一个人住","C.【适度】每天1-2次，帮我保持节奏","1","","","","","","1","","","","","","1","","","","","","D.【三千到一万】（不含一万）","B.女","B.25-30岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","","","","E.INFJ","暴饮暴食","网上","okma","简体中文","未清洗","","中国","广东省","广州市","微信","o86_0jpWReZfB_lGYjz049gBXvi4","okma","","120.230.114.110","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"45","17-Apr-2026 09:12:48","17-Apr-2026 09:18:05","317","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","4","2","5","3","1","6","2","1","4","5","3","6","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","D.【低频】一周几次就够了，太频繁会关掉","1","2","3","4","5","无","1","2","4","3","5","无","1","2","3","4","6","5","A.【没花过钱】","A.男","C.31-40岁","C.【二线及以下】其他城市","","B.抖音","","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","3","","","Q.不知道","周末朋友约我出去吃烧烤，本来不想去的，想想还是吃了","跟着抖音跳健身操，有的时候忘了就没坚持下去","无","简体中文","未清洗","","中国","江西省","九江市","微信","o86_0ji4WL4cADnNQO7cwxxpDWHA","Link","","240e:370:2d0f:90d0:a023:9f56:5043:8680","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"44","17-Apr-2026 09:10:49","17-Apr-2026 09:18:03","434","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","B.【短期多次】不到1年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","2","1","3","5","4","6","5","4","1","2","6","3","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","3","2","4","5","1","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","4","2","3","5","通过deepseek询问","1","4","3","2","","","2","5","3","4","1","6","D.【三千到一万】（不含一万）","A.男","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","说坚持下去有益身体健康","wt754758768","B.INTP","多运动一下减掉","他自己减肥成效非常明显，激发了动力","wt754758768","简体中文","未清洗","","中国","山东省","青岛市","微信","o86_0jhsHjJt2Tl8ltU0yK9cONS0","HHTT","","221.215.222.248","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 MicroMessenger/7.0.20.1781(0x6700143B) NetType/WIFI MiniProgramEnv/Windows WindowsWechat/WMPF WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"43","17-Apr-2026 09:16:33","17-Apr-2026 09:17:53","80","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","6","1","2","4","3","5","6","1","2","3","5","4","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","5","2","1","3","4","7","6","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","4","2","3","1","","","2","1","4","3","","","3","1","2","5","4","","D.【三千到一万】（不含一万）","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","10","","","F.INFP","无","无","无","简体中文","未清洗","","中国","广东省","汕头市","微信","o86_0jnhCKr4Hgar_VA-Kebj8RgI","。 ","","113.103.51.46","Mozilla/5.0 (Linux; Android 10; M2003J15SC Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20241202 MMWEBID/3925 MicroMessenger/8.0.56.2800(0x28003833) WeChat/a","https://wj.qq.com/s2/26364901/e71e/?openid=TW1wdVRXTTBTMEp3VkN0WmNGUndNR05hYWtReVQzSlpNRGxNWnpseE1tMTJaMFJ0TDJKMk1HOHZWVDA9LS04VGVWMTFvaFVXeVl5Y0FuQlJHaFF3PT0tLTJmZTk4MGJhMmM5ZDRkNzk4YTM1ZmI1ZTA1MmM3NDAw","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"42","17-Apr-2026 09:11:01","17-Apr-2026 09:17:49","408","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","C.【效果有限】有一点效果，但离目标还很远","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","","","2","","1","","","","1","2","","","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","","","1","2","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","","","","","","1","2","","","","","1","","2","","","","B.【数百元】","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","	18656383757","N.ISFP","晚上吃夜宵，吃完很后悔","减脂塑形，穿衣服更好看","	18656383757","简体中文","未清洗","","中国","安徽省","宣城市","微信","o86_0jjKPnah0kWZX1Xb4vGj7924","FTyuii","","2409:8931:b437:450d:d448:6c55:b3bf:2e76","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x18004639) NetType/4G Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"41","17-Apr-2026 09:15:35","17-Apr-2026 09:17:39","124","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","C.【中期少次】1-3年，1-2次","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","A.【方案难执行】方案太严格或太理想化，放到现实生活中根本做不到","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","3","5","4","2","6","5","4","2","1","6","3","C.【聊过但不信】咨询过健康或个人问题，但觉得回答太泛泛，不太信任","","1","7","2","3","4","5","6","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","3","5","4","ai","1","5","3","2","4","ai页面","6","1","2","3","4","5","B.【数百元】","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","教我饮食方法","	18456533772","C.ENTJ","朋友叫吃饭 没忍住","教我方法","	18456533776","简体中文","未清洗","","中国","安徽省","合肥市","微信","o86_0jpR4p5tBZOPcMOKI5EWoFA8","Drown.","","2408:8244:600:1722:35f3:5c58:7af8:232f","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x18004639) NetType/WIFI Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
